,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High,Precipin
60,2020-03-01,KPAMEDIA21,33.2,13.9,57,2.1,29.96,0.0
61,2020-03-02,KPAMEDIA21,45.5,23.8,68,2.0,29.89,0.0
62,2020-03-03,KPAMEDIA21,50.5,41.3,94,1.0,29.57,0.0
63,2020-03-04,KPAMEDIA21,51.6,31.3,56,2.2,29.67,0.0
64,2020-03-05,KPAMEDIA21,44.9,27.3,61,1.9,29.91,0.0
65,2020-03-06,KPAMEDIA21,37.2,31.8,97,1.2,29.8,0.0
66,2020-03-07,KPAMEDIA21,38.9,16.6,60,3.7,30.17,0.0
67,2020-03-08,KPAMEDIA21,43.7,18.7,51,1.1,30.26,0.0
68,2020-03-09,KPAMEDIA21,52.1,25.5,55,1.2,30.15,0.0
69,2020-03-10,KPAMEDIA21,55.3,37.0,75,2.0,30.02,0.0
70,2020-03-11,KPAMEDIA21,51.9,31.4,60,1.0,29.89,0.0
71,2020-03-12,KPAMEDIA21,45.3,36.0,90,0.6,29.89,0.0
72,2020-03-13,KPAMEDIA21,63.2,26.1,70,3.2,29.89,0.0
73,2020-03-14,KPAMEDIA21,51.0,25.6,42,2.3,30.12,0.0
74,2020-03-15,KPAMEDIA21,44.7,19.6,72,1.1,30.23,0.0
75,2020-03-16,KPAMEDIA21,41.7,17.0,56,1.6,30.31,0.0
76,2020-03-17,KPAMEDIA21,46.7,36.6,88,1.0,30.11,0.0
77,2020-03-18,KPAMEDIA21,48.9,30.7,65,1.5,30.25,0.0
78,2020-03-19,KPAMEDIA21,48.6,41.1,98,0.4,30.08,0.0
79,2020-03-20,KPAMEDIA21,59.9,49.0,87,1.6,29.92,0.0
80,2020-03-21,KPAMEDIA21,50.5,23.6,59,3.3,30.17,0.0
81,2020-03-22,KPAMEDIA21,40.3,18.5,62,2.0,30.37,0.0
82,2020-03-23,KPAMEDIA21,39.3,32.6,96,2.1,30.36,0.0
83,2020-03-24,KPAMEDIA21,45.5,36.7,85,2.0,29.91,0.0
84,2020-03-25,KPAMEDIA21,43.7,38.6,94,2.0,29.85,0.0
85,2020-03-26,KPAMEDIA21,49.4,32.5,79,1.3,29.84,0.0
86,2020-03-27,KPAMEDIA21,55.5,42.0,79,1.2,29.8,0.0
87,2020-03-28,KPAMEDIA21,49.6,32.2,83,0.7,29.89,0.0
88,2020-03-29,KPAMEDIA21,48.7,43.6,99,1.0,29.74,0.0
89,2020-03-30,KPAMEDIA21,49.5,43.1,97,0.7,29.73,0.0
90,2020-03-31,KPAMEDIA21,44.2,38.4,95,0.9,29.77,0.0
91,2020-04-01,KPAMEDIA21,46.0,28.1,72,2.1,29.62,0.0
92,2020-04-02,KPAMEDIA21,47.0,28.0,56,5.2,29.59,0.0
93,2020-04-03,KPAMEDIA21,50.9,29.1,61,5.8,29.63,0.0
94,2020-04-04,KPAMEDIA21,51.3,44.3,90,1.1,29.79,0.0
95,2020-04-05,KPAMEDIA21,55.9,44.5,81,0.8,29.82,0.0
96,2020-04-06,KPAMEDIA21,53.9,31.5,78,1.8,29.82,0.0
97,2020-04-07,KPAMEDIA21,58.4,33.7,69,1.0,29.74,1.73
98,2020-04-08,KPAMEDIA21,57.2,49.2,91,1.0,29.42,0.0
99,2020-04-09,KPAMEDIA21,53.2,26.8,71,3.6,29.4,0.0
100,2020-04-10,KPAMEDIA21,42.8,24.5,60,5.8,29.58,0.0
101,2020-04-11,KPAMEDIA21,43.7,23.7,56,2.4,29.81,0.0
102,2020-04-12,KPAMEDIA21,54.7,30.1,71,1.4,29.9,0.0
103,2020-04-13,KPAMEDIA21,62.0,43.1,91,3.4,29.78,0.0
104,2020-04-14,KPAMEDIA21,51.0,32.1,58,2.6,29.87,0.0
105,2020-04-15,KPAMEDIA21,43.7,24.1,70,2.6,29.79,0.0
106,2020-04-16,KPAMEDIA21,43.0,20.4,58,2.8,30.01,0.0
107,2020-04-17,KPAMEDIA21,43.2,22.4,65,1.3,30.1,0.0
108,2020-04-18,KPAMEDIA21,43.8,29.4,81,1.9,29.72,0.0
109,2020-04-19,KPAMEDIA21,47.9,30.2,71,1.3,29.74,0.0
110,2020-04-20,KPAMEDIA21,51.9,34.9,69,1.3,29.47,0.0
111,2020-04-21,KPAMEDIA21,48.3,22.5,77,3.0,29.56,0.0
112,2020-04-22,KPAMEDIA21,43.8,19.4,46,3.4,29.77,0.0
113,2020-04-23,KPAMEDIA21,44.2,23.1,66,0.3,29.83,0.0
114,2020-04-24,KPAMEDIA21,46.8,43.6,99,0.8,29.66,0.0
115,2020-04-25,KPAMEDIA21,53.9,28.7,77,0.7,29.82,0.0
116,2020-04-26,KPAMEDIA21,48.1,43.9,98,1.1,29.79,0.0
117,2020-04-27,KPAMEDIA21,46.9,38.4,82,2.9,29.85,0.0
118,2020-04-28,KPAMEDIA21,49.8,36.1,73,1.4,29.92,0.0
119,2020-04-29,KPAMEDIA21,56.1,44.6,83,1.5,29.89,0.0
120,2020-04-30,KPAMEDIA21,62.4,55.1,92,2.7,29.82,0.0
121,2020-05-01,KPAMEDIA21,58.6,50.4,78,1.9,29.59,0.0
122,2020-05-02,KPAMEDIA21,64.3,43.9,56,2.9,29.82,0.0
123,2020-05-03,KPAMEDIA21,66.4,46.9,80,1.2,29.68,0.0
124,2020-05-04,KPAMEDIA21,64.1,39.8,65,2.6,29.71,0.0
125,2020-05-05,KPAMEDIA21,51.0,28.2,57,1.5,29.72,0.0
126,2020-05-06,KPAMEDIA21,48.8,39.8,89,0.3,29.63,0.0
127,2020-05-07,KPAMEDIA21,52.5,32.2,68,2.3,29.6,0.45
128,2020-05-08,KPAMEDIA21,50.2,34.1,76,0.7,29.62,0.0
129,2020-05-09,KPAMEDIA21,40.1,21.0,61,4.5,29.9,0.0
130,2020-05-10,KPAMEDIA21,52.9,25.2,51,2.0,29.93,0.0
131,2020-05-11,KPAMEDIA21,52.0,37.0,73,3.0,29.76,0.0
132,2020-05-12,KPAMEDIA21,50.6,29.6,58,3.5,29.93,0.0
133,2020-05-13,KPAMEDIA21,51.9,32.0,60,1.1,30.08,0.0
134,2020-05-14,KPAMEDIA21,56.3,39.4,79,0.7,30.07,0.0
135,2020-05-15,KPAMEDIA21,71.5,57.8,79,1.6,29.81,0.0
136,2020-05-16,KPAMEDIA21,71.2,55.1,69,1.1,29.92,0.0
137,2020-05-17,KPAMEDIA21,62.2,50.2,78,0.6,30.02,0.0
138,2020-05-18,KPAMEDIA21,60.9,49.3,76,1.4,29.91,0.0
139,2020-05-19,KPAMEDIA21,60.2,37.4,55,2.2,30.08,0.0
140,2020-05-20,KPAMEDIA21,55.9,36.6,58,1.7,30.16,0.0
141,2020-05-21,KPAMEDIA21,59.5,41.2,79,0.8,30.16,0.0
142,2020-05-22,KPAMEDIA21,61.8,52.8,97,0.1,30.0,0.0
143,2020-05-23,KPAMEDIA21,66.3,58.3,97,0.8,29.88,0.0
144,2020-05-24,KPAMEDIA21,59.2,51.9,91,0.7,30.0,0.0
145,2020-05-25,KPAMEDIA21,62.6,56.0,94,0.4,29.98,0.0
146,2020-05-26,KPAMEDIA21,67.2,58.7,91,0.4,29.98,0.0
147,2020-05-27,KPAMEDIA21,69.7,60.9,90,0.5,29.99,0.0
148,2020-05-28,KPAMEDIA21,71.6,66.6,98,0.6,29.95,0.0
149,2020-05-29,KPAMEDIA21,74.8,70.0,95,1.1,29.81,0.0
150,2020-05-30,KPAMEDIA21,70.9,56.1,82,1.5,29.71,0.0
151,2020-05-31,KPAMEDIA21,65.1,41.3,51,2.8,29.93,0.0
152,2020-06-01,KPAMEDIA21,61.4,40.1,58,1.5,30.05,0.0
153,2020-06-02,KPAMEDIA21,63.7,46.2,65,0.8,29.87,0.0
